startDate,country,iso3c,group15C,type,cumReparationsAR6,cumReparationsAR6lwr,cumReparationsAR6upr,share,cumPop,cumRepPerCap,cumRepPerCapLwr,cumRepPerCapUpr,overshoot15C
1960,Singapore,SGP,Global South overshoot,Overemitters,-747070346108.8696,-548007348098.62726,-1162512705398.0745,0.38978132985850106,194988792,-3831.350194265882,-2810.4556291554813,-5961.946291754422,3.1202502879746588
1960,Denmark,DNK,EU and UK,Overemitters,-711641535565.927,-522018833612.6069,-1107382097406.6953,0.371296472360596,187784954,-3789.6621662560196,-2779.875716840482,-5897.075744453388,2.5997501625211066
1960,Finland,FIN,EU and UK,Overemitters,-673205994130.1921,-493824756248.08716,-1047572729399.2218,0.3512428635770544,172095061,-3911.8263488700127,-2869.4882547970806,-6087.174863195068,2.604558096314337
1960,Norway,NOR,Rest of global North,Overemitters,-662215908172.0614,-485763068493.16516,-1030471107542.2057,0.3455088248184136,187712240,-3527.8248673185158,-2587.8071056696417,-5489.631936320219,2.6626490061873818
1960,Romania,ROU,EU and UK,Overemitters,-622252454269.9366,-456448203423.45245,-968284162022.5667,0.32465803307056523,551403096,-1128.4892282685635,-827.7940525445516,-1756.0368613210808,1.38119755492712
1960,Qatar,QAT,Global South overshoot,Overemitters,-622210771815.2101,-456417627599.37384,-968219300147.8258,0.32463628539617323,106863009,-5822.508439896261,-4271.053490542961,-9060.3784153956,5.609038383029865
1960,"Iran, Islamic Rep.",IRN,Global South overshoot,Overemitters,-581359948899.5322,-426451840240.435,-904651523816.1956,0.3033225119813647,2947207116,-197.25792114962178,-144.69693627070998,-306.9521374676932,1.1076829493012124
1960,Slovak Republic,SVK,EU and UK,Overemitters,-541349078709.8333,-397102193340.40924,-842390794031.0786,0.2824469809519695,163846726,-3303.996923990006,-2423.6199467324677,-5141.334310403484,2.3001383149667487
1960,Bulgaria,BGR,EU and UK,Overemitters,-458205504418.716,-336112903782.8279,-713011463170.1171,0.23906711301158412,190693025,-2402.8435461586287,-1762.5862497216553,-3739.0537130034886,1.7543253524194857
1960,Hungary,HUN,EU and UK,Overemitters,-410701958788.53534,-301267066035.8645,-639091415835.6528,0.21428230488050687,282288267,-1454.9026892022237,-1067.2319796977765,-2263.9673360411143,1.5144420984154883
1960,Israel,ISR,Rest of global North,Overemitters,-378179340401.73987,-277410365059.57623,-588483119997.9365,0.19731374293542023,330670087,-1143.6756914807956,-838.933958545746,-1779.668446386977,1.6815429792177772
1960,Ireland,IRL,EU and UK,Overemitters,-345946100856.0567,-253765935567.6801,-538325125234.56836,0.1804961633845742,165987655,-2084.1676500343156,-1528.8241500109157,-3243.1636270454474,2.011278960531682
1960,New Zealand,NZL,Rest of global North,Overemitters,-283929916181.3125,-208274470031.91827,-441822027500.58704,0.1481394367909188,163626702,-1735.2297192991919,-1272.8635820815987,-2700.182929193226,1.8501369399705045
1960,Lithuania,LTU,EU and UK,Overemitters,-218032380127.84644,-159935870906.70148,-339279176863.3083,0.11375762874418983,74191150,-2938.7922970306627,-2155.7270767025648,-4573.041081898694,1.9036869763925122
1960,"Venezuela, RB",VEN,Global South overshoot,Overemitters,-205435290901.59082,-150695379035.22232,-319676904663.869,0.10718514167315227,1058029920,-194.16775179816352,-142.43016779262945,-302.14353925252794,1.1036216012193056
1960,Luxembourg,LUX,EU and UK,Overemitters,-201302252810.6019,-147663622714.50845,-313245503233.3421,0.10502874356171292,22168190,-9080.680597315428,-6661.059054190191,-14130.405018783315,5.822601897333083
1960,Portugal,PRT,EU and UK,Overemitters,-189742866698.73822,-139184329483.5503,-295257996043.9117,0.0989976744468728,300977103,-630.4229285466217,-462.44158806841295,-980.9981992015908,1.239844068383398
1960,Turkmenistan,TKM,Global South overshoot,Overemitters,-167780311486.71936,-123073876563.15799,-261082165601.7569,0.08753878838317147,219172718,-765.5164065023794,-561.5383049780767,-1191.2165345403841,1.4298430066487315
1960,Bahrain,BHR,Global South overshoot,Overemitters,-164806708229.5652,-120892614191.09613,-256454955346.04282,0.08598732132510647,64450577,-2557.1021378065425,-1875.7413791826275,-3979.0947929921995,2.82311347524437
1960,Serbia,SRB,Global South overshoot,Overemitters,-158652436338.00677,-116378198331.41568,-246878321360.13397,0.08277635157547483,246458265,-643.7294214418282,-472.20245720473474,-1001.704371164562,1.2287302657269707
1960,Libya,LBY,Global South overshoot,Overemitters,-134386003817.86612,-98577755036.56343,-209117438109.60602,0.0701154256159754,242758325,-553.5793831905296,-406.07363325877054,-861.4223141867782,1.3054051850280717
1960,Slovenia,SVN,EU and UK,Overemitters,-121026239519.30428,-88777809097.58934,-188328370762.6089,0.06314501550397948,62781753,-1927.7295350339177,-1414.0702490035494,-2999.7310008627646,1.7715545028887805
1960,Oman,OMN,Global South overshoot,Overemitters,-94561064345.46663,-69364496094.97836,-147146034252.5094,0.0493369032854638,190298429,-496.9093273253802,-364.50377682822784,-773.2383027319128,1.346336493795585
1960,Latvia,LVA,EU and UK,Overemitters,-93917715778.93703,-68892573010.78255,-146144922527.9098,0.049001238429897544,51464892,-1824.8890093646176,-1338.6324217057047,-2839.7013351919554,1.5485652147496192
1960,"Korea, Dem. People’s Rep.",PRK,Global South overshoot,Overemitters,-74549643344.24022,-54685281732.25336,-116006354718.76256,0.038896014645132634,824205980,-90.45025776716668,-66.34904751874447,-140.74922717590883,1.0418572371449848
1960,Azerbaijan,AZE,Global South overshoot,Overemitters,-58825156555.68677,-43150712932.82291,-91537553657.69937,0.030691818877346663,335405455,-175.385211178771,-128.6523885928537,-272.9161147891866,1.0869465743033426
1960,Cyprus,CYP,EU and UK,Overemitters,-57020022508.36678,-41826571602.107834,-88728592927.44664,0.02974999652661089,40131424,-1420.8322761825443,-1042.2399066155199,-2210.9505241440384,1.7140297948388103
1960,Croatia,HRV,EU and UK,Overemitters,-54636640378.48872,-40078261115.280136,-85019823034.17851,0.028506475269230565,116188308,-470.2421553336393,-344.94229071035386,-731.7416399090562,1.1600388695974906
1960,Iceland,ISL,Rest of global North,Overemitters,-46962922218.54289,-34449267860.77427,-73078785747.6029,0.024502739764372054,11279354,-4163.61807764371,-3054.188020056314,-6478.986806124083,2.9800793916003263
1960,"Bahamas, The",BHS,Global South overshoot,Overemitters,-43182958269.01469,-31676506191.570637,-67196801353.280754,0.022530556846473742,13507658,-3196.9241647230547,-2345.0775990605207,-4974.718885633672,2.6861610779941008
1960,Brunei Darussalam,BRN,Global South overshoot,Overemitters,-39254710161.52904,-28794971889.922756,-61084072667.564026,0.020481007189838377,14749426,-2661.439852746069,-1952.2774574361576,-4141.454227951924,2.460151402347888
1960,Bosnia and Herzegovina,BIH,Global South overshoot,Overemitters,-27007341440.419003,-19811014637.437317,-42025998926.39249,0.014090985564370188,93404987,-289.14239279771004,-212.09803966288564,-449.9331382209013,1.0937509100081537
1960,North Macedonia,MKD,Global South overshoot,Overemitters,-18101866092.104855,-13278475962.055145,-28168229984.087494,0.009444585071608383,61938755,-292.2542775053334,-214.3807372630455,-454.7755276012166,1.1150534341787683
