startDate,scenario,date,region,overshoot,grp
1850,Historical,1959,EU and UK,17946187.83457724,1.5C
1850,Historical,1960,USA,24652545.527301267,1.5C
1850,Historical,1960,EU and UK,19527087.83457724,1.5C
1850,Historical,1961,USA,27652545.527301267,1.5C
1850,Historical,1961,EU and UK,21136687.83457724,1.5C
1850,Historical,1962,USA,30772545.527301267,1.5C
1850,Historical,1962,EU and UK,22808687.83457724,1.5C
1850,Historical,1963,USA,34032545.52730127,1.5C
1850,Historical,1963,EU and UK,24653672.227634672,1.5C
1850,Historical,1964,USA,37442545.52730127,1.5C
1850,Historical,1964,EU and UK,26590672.227634672,1.5C
1850,Historical,1965,USA,41002545.52730127,1.5C
1850,Historical,1965,EU and UK,28530672.227634672,1.5C
1850,Historical,1966,USA,44742545.52730127,1.5C
1850,Historical,1966,EU and UK,30465672.227634672,1.5C
1850,Historical,1967,USA,48622545.52730127,1.5C
1850,Historical,1967,EU and UK,32365511.952509627,1.5C
1850,Historical,1967,Rest of global North,13105.719081955962,1.5C
1850,Historical,1968,USA,52642545.52730127,1.5C
1850,Historical,1968,EU and UK,34351411.95250963,1.5C
1850,Historical,1968,Rest of global North,48005.71908195596,1.5C
1850,Historical,1969,USA,56862545.52730127,1.5C
1850,Historical,1969,EU and UK,36445211.95250963,1.5C
1850,Historical,1969,Rest of global North,82205.71908195596,1.5C
1850,Historical,1970,USA,61188966.46830125,1.5C
1850,Historical,1970,EU and UK,38480365.76469962,1.5C
1850,Historical,1970,Rest of global North,121827.96960195596,1.5C
1850,Historical,1971,USA,65385436.09930126,1.5C
1850,Historical,1971,EU and UK,40521221.29801962,1.5C
1850,Historical,1971,Rest of global North,240995.14571329532,1.5C
1850,Historical,1972,USA,69825378.47630127,1.5C
1850,Historical,1972,EU and UK,42572678.98781963,1.5C
1850,Historical,1972,Rest of global North,770102.8398532937,1.5C
1850,Historical,1973,USA,74462043.83630128,1.5C
1850,Historical,1973,EU and UK,44705259.58951962,1.5C
1850,Historical,1973,Rest of global North,1300429.0366532952,1.5C
1850,Historical,1974,USA,78928051.26930128,1.5C
1850,Historical,1974,EU and UK,46763798.11437963,1.5C
1850,Historical,1974,Rest of global North,1829718.587623294,1.5C
1850,Historical,1975,USA,83174550.37830128,1.5C
1850,Historical,1975,EU and UK,48746188.09559963,1.5C
1850,Historical,1975,Rest of global North,2367699.8238732954,1.5C
1850,Historical,1975,Rest of global South overshoot,103400.37075389549,1.5C
1850,Historical,1976,USA,87756423.15030126,1.5C
1850,Historical,1976,EU and UK,50802240.87414962,1.5C
1850,Historical,1976,Rest of global North,2909324.051543294,1.5C
1850,Historical,1976,Rest of global South overshoot,343934.5484538954,1.5C
1850,Historical,1977,USA,92508010.87630127,1.5C
1850,Historical,1977,EU and UK,52841817.78905963,1.5C
1850,Historical,1977,Rest of global North,3443852.0646632956,1.5C
1850,Historical,1977,Rest of global South overshoot,590053.8106538951,1.5C
1850,Historical,1978,USA,97486836.74330126,1.5C
1850,Historical,1978,EU and UK,54958943.03243963,1.5C
1850,Historical,1978,Rest of global North,3973797.9402132947,1.5C
1850,Historical,1978,Rest of global South overshoot,842775.2618538952,1.5C
1850,Historical,1979,USA,102471732.83030127,1.5C
1850,Historical,1979,EU and UK,57183018.00550963,1.5C
1850,Historical,1979,Rest of global North,4506082.497033296,1.5C
1850,Historical,1979,Rest of global South overshoot,1105887.0736867315,1.5C
1850,Historical,1980,USA,107263901.08830126,1.5C
1850,Historical,1980,EU and UK,59351622.31907049,1.5C
1850,Historical,1980,Rest of global North,5023615.167773295,1.5C
1850,Historical,1980,Rest of global South overshoot,1404336.857300815,1.5C
1850,Historical,1981,USA,111930019.68930127,1.5C
1850,Historical,1981,EU and UK,61463084.61651146,1.5C
1850,Historical,1981,Rest of global North,5533936.090353295,1.5C
1850,Historical,1981,Rest of global South overshoot,1692895.2026068151,1.5C
1850,Historical,1982,USA,116442347.76430126,1.5C
1850,Historical,1982,EU and UK,63575130.731807515,1.5C
1850,Historical,1982,Rest of global North,6077249.407405995,1.5C
1850,Historical,1982,Rest of global South overshoot,1981992.6454838144,1.5C
1850,Historical,1983,USA,121056617.89930128,1.5C
1850,Historical,1983,EU and UK,65969155.33817703,1.5C
1850,Historical,1983,Rest of global North,6799596.497150973,1.5C
1850,Historical,1983,Rest of global South overshoot,2270625.5065868148,1.5C
1850,Historical,1984,USA,125967538.84730126,1.5C
1850,Historical,1984,EU and UK,69167787.04243703,1.5C
1850,Historical,1984,Rest of global North,7535387.839722374,1.5C
1850,Historical,1984,Rest of global South overshoot,2914646.9618642614,1.5C
1850,Historical,1985,USA,130915772.14630125,1.5C
1850,Historical,1985,EU and UK,72437310.72358504,1.5C
1850,Historical,1985,Rest of global North,8330904.680148535,1.5C
1850,Historical,1985,Rest of global South overshoot,3995427.151932263,1.5C
1850,Historical,1986,USA,135846881.54830128,1.5C
1850,Historical,1986,EU and UK,75778741.17337504,1.5C
1850,Historical,1986,Rest of global North,11266749.016501734,1.5C
1850,Historical,1986,Rest of global South overshoot,5090304.647960262,1.5C
1850,Historical,1987,USA,140977502.12330127,1.5C
1850,Historical,1987,EU and UK,79194041.64989504,1.5C
1850,Historical,1987,Rest of global North,14308545.816641739,1.5C
1850,Historical,1987,Rest of global South overshoot,6218156.1822552625,1.5C
1850,Historical,1988,USA,146297427.6493013,1.5C
1850,Historical,1988,EU and UK,82596578.99506503,1.5C
1850,Historical,1988,Rest of global North,17464289.196676504,1.5C
1850,Historical,1988,Rest of global South overshoot,7373168.038332262,1.5C
1850,Historical,1989,USA,151723628.50730127,1.5C
1850,Historical,1989,EU and UK,85974063.60581504,1.5C
1850,Historical,1989,Rest of global North,20620640.973675504,1.5C
1850,Historical,1989,Rest of global South overshoot,8514366.203947261,1.5C
1850,Historical,1990,USA,157017352.19430125,1.5C
1850,Historical,1990,EU and UK,89279647.90865505,1.5C
1850,Historical,1990,Rest of global North,23672839.210899606,1.5C
1850,Historical,1990,Rest of global South overshoot,9799524.255577262,1.5C
1850,Historical,1991,USA,162259646.00430125,1.5C
1850,Historical,1991,EU and UK,92605185.40628503,1.5C
1850,Historical,1991,Rest of global North,26729544.3145697,1.5C
1850,Historical,1991,Rest of global South overshoot,11177377.697593704,1.5C
1850,Historical,1992,USA,167586617.5753013,1.5C
1850,Historical,1992,EU and UK,95794504.98493503,1.5C
1850,Historical,1992,Rest of global North,29477818.01871366,1.5C
1850,Historical,1992,Rest of global South overshoot,11868556.97584948,1.5C
1850,Historical,1993,USA,172916198.91730124,1.5C
1850,Historical,1993,EU and UK,98683209.90064503,1.5C
1850,Historical,1993,Rest of global North,31456804.74693811,1.5C
1850,Historical,1993,Rest of global South overshoot,12446408.660976263,1.5C
1850,Historical,1994,USA,178475151.08930123,1.5C
1850,Historical,1994,EU and UK,101719530.56698504,1.5C
1850,Historical,1994,Rest of global North,33655207.35224223,1.5C
1850,Historical,1994,Rest of global South overshoot,12974411.570326272,1.5C
1850,Historical,1995,USA,184184549.88130122,1.5C
1850,Historical,1995,EU and UK,104970053.40221503,1.5C
1850,Historical,1995,Rest of global North,36073599.39431604,1.5C
1850,Historical,1995,Rest of global South overshoot,13730275.840175465,1.5C
