startDate,scenario,labelNS,northSouth,date,cumCO2,cumCO2_lwr,cumCO2_upr,fairShare350,fairShare15C,fairShare2C,overshoot15C,overshoot15Clwr,overshoot15Cupr,overshootFairShare350,overshootFairShare15C,overshootFairShare2C
1850,Historical,Global North,NRT,1867,6064636.546,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.01,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1868,6591879.188,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.02,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1869,7150735.771,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.02,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1870,7721946.365,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.02,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1871,8329159.009,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.02,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1872,9000505.874,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.02,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1873,9714372.25,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.02,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1874,10381878.206,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.02,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1875,11107225.133,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.03,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1876,11844157.61,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.03,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1877,12594650.418,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.03,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1878,13348422.437,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.03,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1879,14156181.166,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.03,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1880,15074201.126,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.03,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1881,16017492.4757,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.04,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1882,17015060.9567,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.04,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1883,18075737.7227,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.04,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1884,19148076.3237,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.04,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1885,20229586.8167,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.05,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1886,21327077.1877,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.05,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1887,22477908.3287,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.05,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1888,23752915.4737,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.05,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1889,25026690.4497,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.06,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1890,26412432.5667,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.06,0,0,0.38087779244082254,1,1.3240245966020796
